UID,Name,Age,Position(s),Foot,Height (CM),Weight (KG),International Caps,International Goals,Club,Sell value (€),Wages (€),Contract expiration (year),Aerial Reach,Command of Area,Communication,Eccentricity,First Touch,Handling,Kicking,One on Ones,Passing,Punching (Tendency),Reflexes,Rushing Out (Tendency),Throwing,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Free Kick Taking,Penalty Taking,Technique,Rel. clause (€),CA,PA
34001981,Brice Maubleu,32,GK,Right,192.0,83.0,,,Grenoble,24794910.0,5680.0,2.0,14.0,12.0,12.0,6.0,8,12.0,11.0,13.0,9,9.0,12.0,8.0,12.0,13,12,14,12,12,11,17,5,14,1,12,12,11,11,10,12,15,15,13,11,13,15,9,2,8,,59.0,60.0
35012145,Jens Grahl,33,GK,Right,192.0,88.0,,,Eintracht Frankfurt,355760.0,5750.0,4.0,15.0,11.0,12.0,6.0,7,12.0,10.0,13.0,8,11.0,14.0,12.0,12.0,10,12,13,12,12,12,13,5,13,1,9,17,7,11,12,14,13,15,12,10,11,16,9,3,7,,60.0,60.0
35023905,André Weis,32,GK,Right,189.0,84.0,,,SC Fortuna Köln,2850.0,1440.0,1.0,13.0,12.0,9.0,5.0,5,11.0,10.0,12.0,7,8.0,13.0,9.0,11.0,9,12,12,11,13,11,13,3,9,2,11,11,8,10,8,8,14,11,12,7,11,13,8,2,5,,48.0,60.0
43002866,Nicola Ravaglia,33,GK,Right,184.0,78.0,,,Sampdoria,46580.0,3650.0,2.0,10.0,15.0,12.0,13.0,10,13.0,11.0,12.0,11,15.0,15.0,10.0,10.0,9,13,12,12,11,11,17,5,14,7,10,10,10,10,9,10,12,11,14,10,14,12,4,3,8,,54.0,60.0
43008135,Eugenio Lamanna,32,GK,Right,187.0,80.0,,,Monza,87270.0,1950.0,1.0,13.0,14.0,13.0,7.0,7,12.0,13.0,14.0,7,12.0,13.0,12.0,12.0,6,11,11,13,10,12,12,7,10,4,13,9,7,9,9,12,10,14,13,9,12,12,8,2,6,,54.0,60.0
43018087,Mauro Vigorito,32,GK,Left,187.0,79.0,,,Como,10240.0,9590.0,1.0,10.0,11.0,12.0,8.0,11,11.0,10.0,11.0,16,11.0,12.0,10.0,9.0,10,14,13,12,13,12,12,12,3,11,14,12,11,12,10,12,11,14,17,10,14,12,12,12,12,,54.0,60.0
43022306,Alessandro Micai,28,GK,Right,186.0,77.0,,,Cosenza,19460.0,4180.0,1.0,12.0,12.0,8.0,7.0,3,13.0,11.0,14.0,6,11.0,15.0,14.0,11.0,13,11,10,8,11,12,14,9,13,9,13,11,8,11,11,13,10,12,10,10,14,11,5,2,7,,56.0,60.0
43067329,Simone Perilli,27,GK,Right,195.0,75.0,,,Hellas Verona,335800.0,7850.0,2.0,13.0,12.0,10.0,9.0,9,11.0,11.0,13.0,11,10.0,12.0,13.0,11.0,9,13,12,10,13,12,10,10,12,11,13,10,8,10,10,13,14,16,10,12,15,14,2,3,10,,58.0,60.0
43068340,Matteo Grandi,29,GK,Right,190.0,76.0,,,Sangiuliano City,27860.0,4520.0,2.0,13.0,12.0,10.0,8.0,5,11.0,11.0,11.0,7,13.0,11.0,13.0,13.0,11,10,12,10,12,12,12,5,12,5,10,10,8,9,11,13,13,13,16,12,13,12,6,1,7,,53.0,60.0
43192529,Mattia Del Favero,24,GK,Right,190.0,84.0,,,Pro Patria,1370.0,1150.0,1.0,10.0,10.0,10.0,5.0,8,11.0,10.0,11.0,11,8.0,13.0,8.0,12.0,6,8,10,7,12,12,14,2,9,3,10,11,11,9,12,13,13,14,14,10,13,13,5,1,8,,49.0,60.0
48036407,Quentin Braat,24,GK,Right,194.0,90.0,,,Oviedo,193130.0,1660.0,3.0,12.0,12.0,10.0,9.0,9,11.0,11.0,12.0,10,13.0,14.0,8.0,12.0,6,10,11,10,11,11,5,11,9,11,10,9,10,10,11,11,10,16,11,11,10,15,7,2,10,607540.0,52.0,60.0
48043573,Ryan Bouallak,22,GK,Right,190.0,75.0,,,Free Agent,,,,11.0,10.0,10.0,10.0,2,10.0,9.0,10.0,10,10.0,11.0,10.0,9.0,6,10,11,9,8,14,10,3,1,2,14,9,8,8,13,6,9,14,10,11,4,11,6,2,5,,45.0,58.0
53085085,Sayouba Mandé,29,GK,Right,193.0,75.0,5.0,0.0,FC Helsingør,6150.0,2350.0,1.0,14.0,7.0,11.0,18.0,10,8.0,8.0,14.0,8,14.0,16.0,14.0,11.0,6,14,14,11,7,9,10,16,8,3,11,7,9,12,12,12,11,13,15,11,12,11,8,5,6,,50.0,60.0
57107648,Roland Niczuly,26,GK,Right,181.0,76.0,,,Sepsi OSK,41750.0,910.0,3.0,12.0,14.0,12.0,5.0,7,13.0,14.0,12.0,7,6.0,13.0,10.0,12.0,8,12,11,12,11,12,15,1,11,7,11,12,12,12,10,12,12,11,11,11,11,12,1,4,5,,56.0,60.0
61042644,Danny Rogers,28,GK,Left,186.0,78.0,,,St. Pat's Athletic,9400.0,650.0,1.4,11.0,8.0,11.0,2.0,7,12.0,8.0,10.0,8,10.0,11.0,5.0,10.0,11,10,12,12,11,9,16,3,8,3,11,14,7,9,11,13,9,11,15,10,15,10,5,3,7,,43.0,60.0
67037328,Edu Sousa,30,GK,Right,181.0,80.0,,,Deportivo,6340.0,1680.0,1.0,14.0,13.0,11.0,13.0,6,10.0,12.0,10.0,11,12.0,13.0,11.0,10.0,5,12,10,11,12,12,7,3,7,12,9,9,8,8,10,12,11,13,12,11,11,10,6,3,4,367060.0,51.0,60.0
67111095,Imanol,31,GK,Left,189.0,79.0,,,Mutilvera,5320.0,1030.0,1.0,13.0,11.0,13.0,7.0,4,9.0,11.0,11.0,12,6.0,12.0,8.0,10.0,13,13,15,9,11,11,12,3,10,1,15,8,9,9,13,10,10,9,12,10,4,8,6,2,7,236270.0,49.0,60.0
67127965,Raúl Lizoáin,31,GK,Left,188.0,80.0,,,F.C. Andorra,52190.0,2970.0,1.0,13.0,14.0,12.0,6.0,11,14.0,9.0,13.0,11,12.0,13.0,13.0,11.0,12,12,9,12,12,13,13,2,11,1,11,12,12,11,11,13,9,13,15,12,13,11,7,1,11,1898570.0,58.0,60.0
67175521,Bernabé,29,GK,Right,189.0,76.0,,,Albacete,49290.0,3080.0,2.0,13.0,12.0,11.0,5.0,10,13.0,12.0,12.0,10,11.0,15.0,7.0,12.0,12,15,12,11,13,11,5,1,12,1,12,11,11,11,11,13,11,10,10,10,9,12,7,2,10,1898570.0,58.0,60.0
67184127,Pedro López,27,GK,Right,187.0,80.0,,,Sanse,7800.0,1160.0,1.0,14.0,12.0,9.0,5.0,1,14.0,13.0,7.0,13,11.0,14.0,8.0,9.0,5,11,13,7,12,14,12,2,13,2,14,9,8,8,11,9,7,12,13,12,3,7,6,1,1,367060.0,52.0,60.0
67211896,Marcos Lavín,25,GK,Right,187.0,79.0,,,A. Sagunto,3890.0,690.0,1.0,11.0,9.0,10.0,5.0,10,10.0,12.0,12.0,11,12.0,14.0,8.0,12.0,9,11,12,9,12,12,11,1,6,1,12,9,8,10,10,10,12,13,10,10,10,12,6,3,9,210950.0,48.0,60.0
67213675,Hodei Oleaga,25,GK,Right,198.0,87.0,,,Sestao,4480.0,860.0,1.0,14.0,7.0,8.0,5.0,2,14.0,13.0,10.0,10,7.0,14.0,12.0,11.0,11,9,15,7,9,14,6,2,6,2,12,9,8,8,7,7,3,18,10,13,8,14,7,1,4,219390.0,48.0,60.0
67223075,Miguel San Román,24,GK,Right,189.0,79.0,,,Ponferrada,60800.0,2120.0,2.0,12.0,11.0,10.0,4.0,5,12.0,12.0,12.0,14,10.0,13.0,10.0,12.0,11,14,10,11,12,11,14,2,11,3,14,12,11,11,11,12,10,13,12,11,15,12,7,3,10,892330.0,55.0,60.0
67224131,Viorel Boian,26,GK,Right,185.0,86.0,,,Gernika,1610.0,310.0,1.0,13.0,12.0,6.0,5.0,1,10.0,6.0,9.0,8,11.0,13.0,5.0,9.0,6,12,12,7,8,13,4,1,11,3,12,7,6,6,11,16,7,12,9,9,6,6,6,1,3,103790.0,42.0,60.0
67232107,Lucho García,24,GK,Right,183.0,74.0,,,Rayo Majadahonda,5340.0,1170.0,1.0,8.0,9.0,8.0,8.0,1,13.0,13.0,11.0,9,11.0,13.0,9.0,11.0,9,9,14,9,9,13,10,3,12,2,13,8,7,7,10,14,8,5,13,10,6,6,6,4,6,289080.0,50.0,60.0
67263452,Pablo Brea,21,GK,Right,191.0,,,,Deportivo,120700.0,290.0,2.0,13.0,8.0,8.0,5.0,6,11.0,13.0,9.0,5,14.0,8.0,13.0,8.0,10,11,13,3,4,12,6,2,10,1,13,4,6,6,12,8,7,6,12,13,2,6,6,3,2,283990.0,40.0,58.0
67263833,Lucas,25,GK,Right,187.0,78.0,,,Cornellá,3520.0,760.0,1.0,12.0,13.0,8.0,5.0,3,14.0,11.0,11.0,12,13.0,13.0,10.0,14.0,13,9,12,9,7,14,11,2,8,1,11,9,6,8,13,7,9,11,11,13,8,10,7,2,3,210950.0,48.0,60.0
69005511,Jayson Leutwiler,33,GK,Right,193.0,79.0,3.0,0.0,Oldham,1030.0,930.0,1.0,12.0,10.0,11.0,3.0,7,9.0,10.0,10.0,7,18.0,14.0,7.0,12.0,8,9,12,7,9,6,9,3,10,3,12,10,6,10,8,13,10,16,11,8,11,12,5,2,7,,40.0,60.0
76040773,Sergio Pabón,26,GK,Right,188.0,78.0,,,Badajoz,3660.0,940.0,1.0,11.0,10.0,9.0,11.0,9,12.0,11.0,12.0,10,10.0,10.0,12.0,12.0,10,12,11,11,10,10,11,8,10,8,12,12,10,11,11,12,12,15,12,11,12,12,5,3,11,219390.0,48.0,60.0
85018050,Zacharie Boucher,30,GK,Right,180.0,74.0,,,SC Bastia,14440.0,1700.0,3.0,9.0,10.0,10.0,6.0,9,11.0,12.0,12.0,8,12.0,13.0,12.0,13.0,8,11,12,10,12,10,15,8,12,3,12,13,8,7,12,13,12,10,15,11,11,14,1,1,8,,52.0,60.0
91002407,Daniel Davari,34,GK,Right,192.0,90.0,4.0,0.0,Rot-Weiß Oberhausen,22597480.0,2340.0,2.0,14.0,9.0,12.0,12.0,9,11.0,12.0,13.0,8,11.0,14.0,8.0,13.0,7,11,13,12,12,8,10,7,9,2,13,15,7,10,11,13,10,12,10,9,12,15,8,3,8,,51.0,60.0
91014204,Maximilian Schulze Niehues,33,GK,Right,192.0,92.0,,,Preußen Münster,22728920.0,2570.0,2.0,10.0,10.0,13.0,7.0,10,9.0,12.0,12.0,9,11.0,13.0,12.0,12.0,8,10,12,13,11,10,8,2,8,4,12,12,10,10,12,13,14,16,15,11,12,10,7,5,10,,51.0,60.0
91119572,Leopold Zingerle,28,GK,Right,185.0,78.0,,,SC Paderborn,63720.0,3840.0,1.0,11.0,11.0,13.0,8.0,11,9.0,13.0,14.0,10,12.0,15.0,13.0,10.0,7,12,11,13,13,12,13,2,12,2,13,10,9,10,11,14,14,13,14,12,13,11,4,3,11,,58.0,60.0
91149520,Florian Kastenmeier,25,GK,Right,192.0,85.0,,,Fortuna Düsseldorf,357890.0,4790.0,2.0,15.0,10.0,11.0,15.0,12,12.0,13.0,13.0,11,8.0,13.0,15.0,10.0,12,11,12,11,11,11,13,9,10,11,14,13,12,14,11,12,12,15,14,10,12,10,1,3,13,,56.0,60.0
92035604,Philipp Kühn,29,GK,Right,189.0,94.0,,,VfL Osnabrück,9350.0,4410.0,1.0,13.0,10.0,11.0,8.0,4,11.0,12.0,12.0,7,8.0,11.0,9.0,11.0,5,9,14,12,11,11,12,4,11,4,13,13,11,12,9,10,14,14,12,11,13,16,5,5,4,,55.0,60.0
92072609,Dominik Reimann,25,GK,Right,186.0,82.0,,,FC Magdeburg,9860.0,4320.0,1.0,13.0,9.0,16.0,14.0,12,10.0,16.0,14.0,13,10.0,12.0,18.0,16.0,8,14,11,16,10,12,12,1,9,1,11,16,10,12,13,12,11,12,13,10,10,11,5,3,12,,56.0,60.0
92076704,Kevin Broll,26,GK,Right,185.0,85.0,,,Dynamo Dresden,6990.0,1600.0,2.0,12.0,12.0,11.0,5.0,4,11.0,16.0,11.0,12,12.0,13.0,5.0,13.0,12,14,11,10,11,12,12,1,7,3,10,11,10,10,10,12,11,12,11,10,11,12,4,2,8,,53.0,60.0
914342,Steeve Elana,42,GK,Right,187.0,85.0,7.0,0.0,Salon Bel Air,0.0,,,11.0,10.0,12.0,8.0,7,12.0,8.0,11.0,6,8.0,8.0,12.0,9.0,6,11,14,12,12,11,14,6,12,2,12,10,6,7,7,10,12,14,16,8,11,13,4,5,7,,43.0,60.0
7988366,Simone Aresti,36,GK,Right,189.0,72.0,,,Cagliari,3500.0,5340.0,1.0,11.0,12.0,10.0,10.0,7,12.0,10.0,12.0,9,10.0,13.0,12.0,11.0,11,8,11,10,12,10,15,11,13,5,11,11,7,15,10,10,12,15,17,12,12,13,8,2,9,,50.0,60.0
8441459,Clément Maury,36,GK,Left,182.0,78.0,,,FC Bastelicaccia,0.0,,,12.0,11.0,10.0,5.0,8,12.0,12.0,11.0,8,11.0,11.0,11.0,9.0,9,11,12,10,12,12,14,5,9,1,11,12,9,6,8,11,12,11,14,8,12,12,7,3,7,,47.0,60.0
13176435,Abdelkader Salhi,29,GK,Right,187.0,95.0,4.0,0.0,,8760.0,1470.0,1.0,10.0,14.0,7.0,11.0,2,14.0,14.0,11.0,12,9.0,11.0,10.0,11.0,11,11,15,9,9,14,12,3,8,3,7,9,8,8,12,16,6,8,11,14,7,9,7,3,2,405030.0,52.0,60.0
16162879,Fabian Bredlow,27,GK,Right,190.0,89.0,,,VfB Stuttgart,319560.0,12500.0,2.0,14.0,14.0,10.0,11.0,9,12.0,10.0,13.0,10,8.0,14.0,16.0,12.0,10,12,13,10,10,11,15,2,10,1,12,14,8,10,12,13,13,14,15,10,10,15,8,2,10,,59.0,60.0
16251020,Nick Giuliani,21,GK,Right,190.0,,,,SR Donaufeld,1450.0,300.0,1.0,14.0,14.0,10.0,5.0,1,14.0,6.0,13.0,7,11.0,13.0,15.0,10.0,7,7,12,6,13,14,16,2,1,3,14,8,7,5,10,8,6,14,13,6,1,7,8,3,6,,41.0,59.0
21024436,Nikola Vasilj,26,GK,Right,193.0,85.0,5.0,0.0,St. Pauli,547930.0,8990.0,1.0,15.0,12.0,10.0,5.0,6,13.0,10.0,13.0,14,9.0,14.0,11.0,13.0,15,11,13,10,11,10,16,3,10,2,11,12,11,11,8,12,14,16,13,10,12,13,6,1,4,,57.0,60.0
29158372,Louis Jones,23,GK,Right,185.0,,,,Doncaster,38920.0,930.0,1.0,12.0,9.0,9.0,6.0,8,10.0,9.0,11.0,7,12.0,11.0,9.0,10.0,7,9,11,10,12,11,12,2,7,2,11,8,7,9,6,10,8,13,10,5,10,9,4,3,8,,37.0,60.0
43044106,Pietro Perina,30,GK,Right,186.0,82.0,,,Turris,10680.0,2800.0,1.0,12.0,12.0,11.0,10.0,7,13.0,12.0,14.0,8,12.0,14.0,9.0,11.0,12,11,12,11,11,12,13,5,8,5,11,10,8,9,10,11,13,13,12,10,13,11,5,1,7,,53.0,60.0
43258380,Paolo Bastianello,24,GK,Right,191.0,87.0,,,Free Agent,,,,12.0,11.0,12.0,6.0,6,12.0,9.0,13.0,6,8.0,13.0,14.0,9.0,11,12,13,10,12,11,18,5,6,3,11,10,6,10,9,11,12,15,14,12,11,13,6,2,5,,49.0,60.0
43270509,Edoardo Sarri,23,GK,Right,186.0,80.0,,,Bari,54250.0,1110.0,1.0,11.0,10.0,10.0,1.0,6,12.0,11.0,10.0,8,15.0,11.0,14.0,12.0,11,11,10,12,11,10,12,5,10,3,11,10,7,9,9,14,11,13,12,10,11,12,5,2,7,,47.0,61.0
43296038,Matteo Rossi,22,GK,Right,192.0,,,,Picerno,6480.0,710.0,1.0,11.0,10.0,11.0,7.0,6,12.0,8.0,10.0,7,7.0,13.0,9.0,10.0,16,12,12,6,12,10,5,4,8,4,10,6,8,10,12,12,7,12,10,11,7,11,2,1,5,,44.0,57.0
43304017,Demba Thiam,24,GK,Right,202.0,85.0,,,Foggia,31100.0,5340.0,2.0,15.0,12.0,10.0,8.0,7,13.0,10.0,12.0,9,12.0,13.0,10.0,8.0,7,12,12,10,11,14,12,6,8,6,13,7,6,6,10,10,13,14,13,10,7,13,1,1,6,,53.0,60.0
43318810,Thomas Vettorel,21,GK,Right,190.0,78.0,,,Monopoli,264550.0,820.0,1.0,12.0,11.0,11.0,8.0,6,10.0,12.0,11.0,8,14.0,13.0,12.0,12.0,11,8,11,10,10,10,14,5,8,3,11,10,6,10,10,12,10,16,15,8,10,11,2,1,7,,45.0,63.0
43392799,Alessio Pozzi,21,GK,Right,190.0,80.0,,,Triestina,107090.0,820.0,1.0,14.0,11.0,11.0,10.0,4,12.0,10.0,10.0,11,9.0,11.0,7.0,11.0,6,9,10,8,10,10,7,3,8,2,11,10,9,12,9,10,9,15,9,9,11,12,5,3,7,,44.0,57.0
48044771,Pierre Patron,24,GK,Right,191.0,85.0,,,Royal Charleroi,195280.0,2500.0,2.0,11.0,10.0,7.0,3.0,8,11.0,10.0,12.0,9,12.0,12.0,11.0,10.0,9,13,12,11,12,10,12,2,12,1,14,11,8,10,15,8,11,15,10,13,10,13,7,1,4,,51.0,60.0
49050072,Abdoul Coulibaly,21,GK,Right,185.0,,,,Thonon Evian Grand..,980.0,190.0,1.0,10.0,7.0,9.0,15.0,1,14.0,8.0,7.0,8,8.0,13.0,15.0,5.0,12,11,14,7,9,13,6,2,12,1,12,7,6,6,9,9,7,7,9,10,3,5,3,3,5,,37.0,48.0
52090552,Ed McGinty,22,GK,Left,184.0,,,,Oxford,299570.0,1390.0,3.0,12.0,11.0,12.0,8.0,11,13.0,12.0,13.0,9,9.0,14.0,11.0,10.0,10,12,12,12,7,10,14,4,5,7,9,10,8,11,12,11,9,12,14,11,12,10,4,3,8,,49.0,61.0
58123343,Nikita Haikin,26,GK,Right,185.0,68.0,,,Bristol City,119840.0,5800.0,1.0,9.0,7.0,13.0,17.0,13,11.0,11.0,18.0,11,15.0,17.0,18.0,9.0,8,13,16,13,13,8,15,1,13,10,13,12,13,12,11,14,9,10,8,12,12,9,8,2,13,,59.0,60.0
67179554,Álex Cobo,26,GK,Right,184.0,77.0,,,Bergantiños,11340.0,1680.0,1.0,9.0,15.0,8.0,11.0,5,15.0,15.0,13.0,7,10.0,15.0,10.0,11.0,9,10,13,6,11,15,14,2,4,1,12,10,9,9,14,7,10,7,12,10,9,7,3,3,7,480970.0,53.0,60.0
67210493,Dani Hernández,26,GK,Right,185.0,74.0,,,Palencia CF,3630.0,340.0,1.0,14.0,10.0,7.0,5.0,1,14.0,11.0,12.0,9,15.0,13.0,13.0,8.0,9,10,11,6,12,14,13,2,10,2,12,9,8,8,13,9,9,13,13,12,8,12,7,2,3,,45.0,60.0
67225472,Sergio Valero,23,GK,Right,184.0,75.0,,,Navalcarnero,5020.0,390.0,1.0,7.0,8.0,9.0,5.0,1,13.0,6.0,8.0,12,8.0,13.0,13.0,6.0,5,8,15,8,6,12,14,3,8,1,13,7,6,6,12,10,7,5,16,12,2,5,7,2,2,437000.0,44.0,59.0
67257946,Yaroslav Meykher,22,GK,Right,184.0,79.0,,,Real Valladolid,11850.0,420.0,1.0,14.0,11.0,8.0,9.0,4,12.0,14.0,11.0,7,13.0,13.0,6.0,9.0,5,13,14,9,13,10,15,3,7,2,13,8,7,7,11,16,8,8,10,10,3,5,6,2,5,740670.0,45.0,58.0
67280844,Salvi,22,GK,Right,192.0,80.0,,,Leonesa,7130.0,1020.0,1.0,13.0,10.0,7.0,5.0,3,10.0,8.0,11.0,11,5.0,13.0,15.0,8.0,9,5,15,8,12,12,14,3,5,2,8,8,7,7,12,13,3,14,11,11,2,5,6,1,5,429400.0,46.0,58.0
85019464,Paul Delecroix,33,GK,Right,184.0,76.0,,,Châteauroux,6300.0,2330.0,1.0,11.0,12.0,11.0,6.0,7,12.0,12.0,12.0,8,12.0,12.0,13.0,10.0,8,12,12,11,12,11,14,5,10,2,11,11,8,11,7,14,12,12,15,10,11,12,5,2,4,,52.0,60.0
85058142,Thomas Vincensini,28,GK,Right,184.0,79.0,,,RE Virton,17380.0,1200.0,1.0,12.0,10.0,12.0,5.0,8,11.0,13.0,11.0,9,14.0,13.0,10.0,11.0,9,11,12,12,12,11,12,3,11,3,10,11,10,8,11,12,14,12,15,11,12,14,6,3,7,,53.0,60.0
85128716,Alexandre Olliero,26,GK,Right,193.0,85.0,,,Reims,294470.0,4260.0,5.0,14.0,13.0,12.0,7.0,10,12.0,13.0,11.0,12,10.0,12.0,10.0,12.0,9,11,12,10,11,11,8,11,8,10,12,10,12,11,11,12,10,15,12,10,12,13,6,4,10,,57.0,60.0
90038591,Aaron Chapman,32,GK,Right,204.0,92.0,,,Scunthorpe,1220.0,1160.0,1.0,20.0,10.0,9.0,4.0,8,10.0,11.0,9.0,8,6.0,9.0,11.0,12.0,11,11,14,11,10,10,13,3,9,3,9,12,10,13,9,10,11,19,8,9,14,16,4,3,9,,40.0,60.0
91143878,Constantin Frommann,24,GK,Right,185.0,78.0,,,Free Agent,,,,9.0,10.0,13.0,12.0,11,10.0,13.0,12.0,11,8.0,12.0,14.0,13.0,11,12,10,13,9,10,15,1,11,2,11,13,10,12,12,12,9,9,12,10,10,10,4,1,10,,48.0,60.0
91175665,Marco Hiller,25,GK,Right,189.0,89.0,,,1860 München,11720.0,2400.0,2.0,14.0,12.0,10.0,6.0,9,12.0,11.0,13.0,6,5.0,14.0,6.0,11.0,11,12,12,10,11,11,15,8,11,2,13,12,11,11,7,11,12,15,12,8,11,11,7,2,8,,55.0,60.0
91175821,Jakob Golz,23,GK,Right,187.0,85.0,,,Rot-Weiss Essen,5610.0,1010.0,1.0,12.0,13.0,12.0,12.0,9,11.0,10.0,11.0,12,9.0,12.0,7.0,12.0,7,12,15,12,9,10,4,8,8,8,8,10,9,10,12,10,11,13,10,12,10,10,1,1,10,,52.0,56.0
91206512,Marc Richter,22,GK,Right,198.0,86.0,,,Würzburger Kickers,62040.0,300.0,1.0,17.0,9.0,6.0,5.0,3,12.0,12.0,8.0,8,8.0,13.0,5.0,6.0,13,9,15,7,13,13,9,1,4,1,7,7,6,6,9,13,7,16,13,6,1,9,7,3,3,,41.0,59.0
2000197536,Yannick Onohiol,17,GK,Right,188.0,,,,Astoria Walldorf,0.0,10.0,2.0,10.0,5.0,6.0,5.0,1,7.0,6.0,5.0,5,6.0,9.0,9.0,4.0,9,7,14,4,7,12,9,1,9,2,10,4,3,3,7,12,4,6,12,4,1,2,5,1,1,,16.0,37.0
1007737,Wang Dalei,33,GK,Right,187.0,90.0,27.0,0.0,Shandong,23262400.0,13950.0,2.5,12.0,12.0,9.0,13.0,8,12.0,13.0,13.0,9,16.0,14.0,12.0,15.0,12,12,14,8,11,10,17,15,15,10,12,12,8,12,11,12,10,14,13,10,10,10,5,2,6,,53.0,59.0
1411762,Luca Liverani,33,GK,Right,183.0,80.0,,,Alessandria,3140.0,520.0,1.0,10.0,12.0,12.0,5.0,8,12.0,10.0,12.0,8,8.0,12.0,9.0,11.0,10,12,11,11,10,10,13,5,12,1,12,10,8,9,8,11,13,11,13,10,12,10,1,5,6,,45.0,59.0
5122978,Scott Loach,34,GK,Right,193.0,88.0,,,Derby County,1430.0,2900.0,1.0,14.0,7.0,8.0,6.0,8,12.0,10.0,10.0,12,11.0,12.0,10.0,9.0,10,10,12,12,9,10,15,5,11,3,10,10,7,12,7,11,13,15,13,8,7,13,8,4,7,,43.0,59.0
8431747,Cédric Si Mohamed,37,GK,Right,183.0,73.0,1.0,0.0,FC Saint Cyr-Collo..,0.0,,,11.0,11.0,11.0,10.0,9,12.0,11.0,12.0,14,15.0,14.0,13.0,12.0,14,12,13,11,8,9,11,13,10,1,12,14,7,13,11,9,11,13,13,10,12,10,7,1,6,,46.0,59.0
28094132,Luke Pilling,24,GK,Right,181.0,65.0,,,Warrington Rylands,160.0,290.0,1.0,8.0,6.0,9.0,5.0,4,11.0,6.0,11.0,3,11.0,11.0,10.0,9.0,5,7,14,6,8,11,10,2,8,2,11,6,5,5,7,14,6,9,12,7,5,6,7,1,4,,28.0,59.0
29157184,Titas Krapikas,23,GK,Right,194.0,85.0,1.0,0.0,Ternana,108950.0,640.0,1.0,14.0,12.0,11.0,8.0,7,12.0,14.0,12.0,7,10.0,13.0,10.0,12.0,10,11,11,12,11,10,18,8,10,2,11,10,6,10,8,12,15,19,16,8,12,14,2,2,9,,52.0,65.0
29175186,Jon McCracken,22,GK,Right,188.0,78.0,,,Norwich City,535860.0,1740.0,2.0,12.0,11.0,11.0,1.0,3,12.0,14.0,13.0,9,5.0,12.0,6.0,10.0,6,13,11,12,10,9,11,2,10,3,10,10,9,9,11,12,11,11,14,15,7,7,7,2,8,,47.0,60.0
35026113,Jonas Deumeland,34,GK,Right,191.0,86.0,,,Free Agent,,,,11.0,12.0,10.0,5.0,1,14.0,5.0,14.0,10,15.0,16.0,8.0,9.0,8,12,14,9,12,13,11,1,12,2,12,14,9,9,10,9,6,13,12,8,8,10,7,2,6,,50.0,59.0
43001937,Antony Iannarilli,31,GK,Left,186.0,82.0,,,Ternana,24939130.0,8000.0,3.0,11.0,11.0,12.0,14.0,9,12.0,11.0,12.0,7,9.0,14.0,10.0,11.0,9,14,14,12,13,13,18,13,11,13,13,15,6,12,10,13,11,13,13,10,14,13,10,1,7,,59.0,59.0
43075060,Riccardo Piscitelli,28,GK,Left,188.0,81.0,,,Mezokövesd,13980.0,2220.0,1.0,13.0,11.0,11.0,11.0,8,12.0,12.0,13.0,10,12.0,14.0,10.0,13.0,10,11,12,11,11,11,15,2,8,8,12,11,7,11,8,11,12,13,15,8,9,11,6,4,9,,50.0,59.0
43093955,Lorenzo Andrenacci,27,GK,Right,188.0,77.0,,,Brescia,13200.0,1420.0,2.0,12.0,13.0,12.0,6.0,5,15.0,13.0,13.0,6,9.0,15.0,14.0,12.0,10,12,11,12,11,10,13,6,6,3,11,10,6,10,11,12,12,13,13,10,14,11,8,3,5,,55.0,59.0
43153068,Alessandro Livieri,25,GK,Left,190.0,75.0,,,Pisa,8670.0,3230.0,2.0,11.0,12.0,12.0,7.0,10,12.0,12.0,13.0,7,13.0,14.0,12.0,11.0,8,11,11,12,12,12,12,4,4,1,13,7,5,11,11,12,13,13,15,13,14,11,8,1,11,,54.0,59.0
43296749,Davide Barosi,22,GK,Right,187.0,82.0,,,Juve Stabia,15590.0,3910.0,2.0,13.0,10.0,12.0,5.0,8,13.0,11.0,13.0,9,13.0,11.0,9.0,10.0,9,10,12,12,13,13,4,4,11,3,13,7,6,9,11,13,11,13,13,10,12,13,8,3,11,,54.0,64.0
47055920,Marius Adamonis,25,GK,Right,191.0,82.0,,,Lazio,43400.0,3650.0,3.0,12.0,11.0,6.0,6.0,8,12.0,13.0,10.0,10,12.0,14.0,11.0,13.0,4,8,11,6,11,12,13,1,10,6,12,10,12,10,11,13,10,14,14,10,14,12,6,2,10,,55.0,59.0
48043541,Matis Carvalho,23,GK,Left,186.0,80.0,,,Montpellier,177290.0,970.0,1.0,8.0,10.0,10.0,5.0,1,14.0,9.0,12.0,11,5.0,12.0,13.0,12.0,12,11,15,10,11,14,5,1,12,2,12,10,9,9,10,7,8,14,13,10,5,7,7,3,4,,49.0,63.0
